relig,cappun,age,educ
catholic,,31.0,12.0
catholic,,36.0,12.0
protestant,,32.0,11.0
catholic,,50.0,12.0
protestant,,77.0,7.0
protestant,,88.0,15.0
catholic,,32.0,12.0
protestant,,22.0,12.0
protestant,,55.0,12.0
protestant,,67.0,7.0
protestant,,75.0,8.0
protestant,,45.0,16.0
protestant,,57.0,7.0
protestant,,56.0,13.0
protestant,,30.0,12.0
protestant,,26.0,14.0
,,19.0,11.0
protestant,,64.0,8.0
catholic,,62.0,8.0
protestant,,68.0,14.0
protestant,,63.0,11.0
protestant,,48.0,11.0
protestant,,28.0,9.0
protestant,,75.0,10.0
protestant,,23.0,13.0
protestant,,72.0,8.0
protestant,,39.0,12.0
protestant,,30.0,15.0
protestant,,29.0,12.0
protestant,,33.0,12.0
protestant,,43.0,12.0
protestant,,51.0,12.0
protestant,,27.0,12.0
protestant,,49.0,11.0
protestant,,56.0,12.0
catholic,,49.0,11.0
catholic,,50.0,8.0
protestant,,39.0,12.0
protestant,,43.0,12.0
protestant,,20.0,12.0
protestant,,34.0,12.0
protestant,,75.0,12.0
catholic,,53.0,12.0
protestant,,29.0,11.0
protestant,,55.0,17.0
protestant,,29.0,13.0
protestant,,51.0,8.0
protestant,,45.0,10.0
protestant,,50.0,12.0
protestant,,50.0,12.0
protestant,,33.0,13.0
catholic,,29.0,12.0
protestant,,23.0,15.0
protestant,,67.0,9.0
catholic,,26.0,9.0
protestant,,36.0,11.0
catholic,,30.0,10.0
protestant,,48.0,11.0
protestant,,46.0,10.0
protestant,,59.0,8.0
protestant,,61.0,13.0
protestant,,,13.0
protestant,,23.0,12.0
protestant,,21.0,12.0
catholic,,32.0,10.0
protestant,,68.0,12.0
protestant,,21.0,13.0
protestant,,25.0,12.0
catholic,,49.0,8.0
catholic,,23.0,8.0
protestant,,22.0,12.0
catholic,,24.0,15.0
protestant,,78.0,9.0
protestant,,60.0,5.0
protestant,,83.0,8.0
catholic,,43.0,11.0
protestant,,58.0,16.0
protestant,,27.0,16.0
protestant,,30.0,16.0
protestant,,44.0,12.0
protestant,,28.0,14.0
protestant,,58.0,16.0
protestant,,61.0,12.0
protestant,,36.0,12.0
catholic,,63.0,16.0
none,,38.0,8.0
catholic,,55.0,12.0
jewish,,41.0,13.0
protestant,,74.0,13.0
protestant,,34.0,13.0
catholic,,43.0,12.0
catholic,,54.0,16.0
protestant,,25.0,14.0
protestant,,20.0,12.0
protestant,,70.0,8.0
protestant,,52.0,12.0
protestant,,68.0,8.0
protestant,,24.0,11.0
protestant,,51.0,15.0
catholic,,43.0,12.0
protestant,,50.0,14.0
protestant,,30.0,14.0
protestant,,59.0,12.0
protestant,,87.0,7.0
protestant,,26.0,12.0
